id_modismo,modismo,significado,ejemplo,img_1,img_2,img_3,img_4,
MULTI_GEMINI_0001,a la hora del té,A la hora de la verdad.,"Un ganadero santandereano recordó que siempre les prometieron recursos para sacar adelante las propuestas productivas, pero a la hora del té no ocurrió nada.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/sudor/figurative_sudor.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_la_hora_del_t%C3%A9/figurative_a_la_hora_del_t%C3%A9.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_la_hora_del_t%C3%A9/literal_a_la_hora_del_t%C3%A9.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_la_hora_del_t%C3%A9/mixed_a_la_hora_del_t%C3%A9.png,
MULTI_GEMINI_0002,a lo que dé el tejo,al máximo,haremos la fiesta a lo que dé el tejo,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_lo_que_d%C3%A9_el_tejo/figurative_a_lo_que_d%C3%A9_el_tejo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_lo_que_d%C3%A9_el_tejo/literal_a_lo_que_d%C3%A9_el_tejo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cabezal/figurative_cabezal.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_lo_que_d%C3%A9_el_tejo/mixed_a_lo_que_d%C3%A9_el_tejo.png,
MULTI_GEMINI_0003,a mano limpia,"Referido a una pelea, sin utilizar guantes.",En las riñas hubo algunos golpeados por caídas y golpes a mano limpia.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_mano_limpia/literal_a_mano_limpia.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_mano_limpia/figurative_a_mano_limpia.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/alzado/figurative_alzado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_mano_limpia/mixed_a_mano_limpia.png,
MULTI_GEMINI_0004,a todo taco,"dicho de una fiesta, reunión, ceremonia, etc , no ahorrar gasto alguno","del auto de fe pasamos al chocolate, servido aquella tarde a todo taco",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_todo_taco/figurative_a_todo_taco.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/disparado/figurative_disparado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_todo_taco/mixed_a_todo_taco.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/a_todo_taco/literal_a_todo_taco.png,
MULTI_GEMINI_0005,abanicar,"En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.",El bateador se ponchó abanicando el tercer lanzamiento.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abanicar/literal_abanicar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cuarto_4/mixed_cuarto_4.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abanicar/figurative_abanicar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abanicar/mixed_abanicar.png,
MULTI_GEMINI_0006,abanico,ventilador eléctrico,prende el abanico que hace mucho calor,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abanico/literal_abanico.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/conejo_1/literal_conejo_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abanico/figurative_abanico.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abanico/mixed_abanico.png,
MULTI_GEMINI_0007,abeja,Ser hábil o astuto para salir bien librado de situaciones complicadas.,Llegaste sin problemas al sitio: no contaban con que eres una abeja y que siempre cargas un mapa del lugar a donde vas.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abeja/figurative_abeja.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/candela/figurative_candela.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abeja/mixed_abeja.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abeja/literal_abeja.png,
MULTI_GEMINI_0008,abejorrear,Manosear lujuriosamente a alguien en público.,Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abejorrear/mixed_abejorrear.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abejorrear/literal_abejorrear.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/bulto/mixed_bulto.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abejorrear/figurative_abejorrear.png,
MULTI_GEMINI_0009,abombado,"Referido a un alimento, que está descompuesto.",Juan no se comió la carne porque estaba abombada.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/verga/mixed_verga.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abombado/figurative_abombado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abombado/literal_abombado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abombado/mixed_abombado.png,
MULTI_GEMINI_0010,abrebocas,Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.,"Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrebocas/figurative_abrebocas.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrebocas/literal_abrebocas.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/plagio/figurative_plagio.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/abrebocas/mixed_abrebocas.png,
