id_modismo,modismo,significado,image
SINGLE_0001,a cabalidad,adecuadamente,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_a_cabalidad.png
SINGLE_0002,a juro,con terquedad o insistencia,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_a_juro.png
SINGLE_0003,a lo bien,"- Correctamente, sin mala intención.
- Excelente, muy bien.
- correctamente, bien, sin mala intención",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_a_lo_bien.png
SINGLE_0004,a mansalva,"dicho de una agresión o ataque, a traición",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_a_mansalva.png
SINGLE_0005,a paz y salvo,se usa para expresar que no se tiene ninguna deuda,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_a_paz_y_salvo.png
SINGLE_0006,abagó,"selección de los mejores frutos de la cosecha de maíz, papa u otros productos agrícolas, con los que se suelen obsequiar a los amigos o a los cogedores",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abag%C3%B3.png
SINGLE_0007,abajeño,Propio o nativo de las costas o de las tierras bajas.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abaje%C3%B1o.png
SINGLE_0008,abalear,Herir o matar a alguien con disparos de un arma de fuego.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abalear.png
SINGLE_0009,abaleo,tiroteo,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abaleo.png
SINGLE_0010,abaniquear,darse aire con un abanico,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abaniquear.png
SINGLE_0011,abarrotes,Víveres de consumo diario.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abarrotes.png
SINGLE_0012,abismante,"Referido a alguien o a algo, que es sorprendente o muy notorio.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abismante.png
SINGLE_0013,abotar,Cruzarse el río o el mar de un lado para el otro.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abotar.png
SINGLE_0014,abozao,Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abozao.png
SINGLE_0015,abra,"- terreno desmontado listo para la siembra
- hoja de una puerta o ventana",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abra.png
SINGLE_0016,abullonado,"Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_abullonado.png
SINGLE_0017,acabarropa,"Referido a una persona, holgazán.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acabarropa.png
SINGLE_0018,acabarse por el fisto,extenuarse el hombre por abusos sexuales,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsSingleImage/singleImage_acabarse_por_el_fisto.png
